CGtC98 href,DByuf4 src,uu79Xy,KzDlHZ,XQDdHH,Wphh3N,hG7V+4,Wphh3N 2,J+igdf,J+igdf 2,J+igdf 3,J+igdf 4,J+igdf 5,J+igdf 6,J+igdf 7,Nx9bqj,yRaY8j,UkUFwK,_0CSTHy src,yiggsN,yiggsN 2,yiggsN 3,yiggsN 4,vfSpSs,DByuf4 src 2
https://www.flipkart.com/gigabyte-g-series-intel-core-i7-13th-gen-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-nvidia-rtx-4060-165-hz-g6-kf-h3in893kh-gaming-laptop/p/itmd0e883bf0dc21?pid=COMHFZ7YJT4QDU9Q&lid=LSTCOMHFZ7YJT4QDU9QZIHG8F&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHFZ7YJT4QDU9Q.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/o/9/-original-imahgpr6q9fhesze.jpeg?q=70,Add to Compare,GIGABYTE G Series Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,4.3,12 Ratings,&,2 Reviews,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 inch) Display,2 Year,,"₹78,990","₹1,59,000",50% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Bank Offer,"Or Pay ₹78,890 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
https://www.flipkart.com/asus-vivobook-16x-2025-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp412ws-gaming-laptop/p/itm9e70454315f97?pid=COMH9SJ93FGQFGAW&lid=LSTCOMH9SJ93FGQFGAWQLCZ15&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH9SJ93FGQFGAW.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/1/o/-original-imahgfdf5f9uyzwh.jpeg?q=70,Add to Compare,ASUS Vivobook 16X (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H - (16 GB/512 GB ...,4.2,"1,205 Ratings",&,66 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 inch) Display,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1 Year Onsite Warranty,"₹64,550","₹89,990",28% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Bank Offer,"Or Pay ₹64,450 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
https://www.flipkart.com/msi-thin-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b7ucx-285in-b7ucx-105in-gaming-laptop/p/itm61400c2ed6802?pid=COMGXMSXZTA8NKTP&lid=LSTCOMGXMSXZTA8NKTPBP1VB6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMGXMSXZTA8NKTP.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/j/q/-original-imahgfdyczjhdyt4.jpeg?q=70,Add to Compare,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,441 Ratings,&,43 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,,"₹54,990","₹72,990",24% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Super Deals,Upto,"₹50,950",Off on Exchange,Not deliverable,
https://www.flipkart.com/hp-victus-amd-ryzen-7-octa-core-260-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15-fb3185ax-gaming-laptop/p/itm08bbf58218363?pid=COMHDZVEE22P67WR&lid=LSTCOMHDZVEE22P67WR32U1SH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHDZVEE22P67WR.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/w/k/-original-imahgfdfntwwxbqn.jpeg?q=70,Add to Compare,HP Victus AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX...,4.5,151 Ratings,&,15 Reviews,AMD Ryzen 7 Octa Core Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,MS Office Home 2024 + MISC PC Game Pass DA 3M,1 Year Onsite Warranty,"₹1,00,990","₹1,20,928",16% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,Not deliverable,
https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH3G96J7CE6ZPH.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/v/-original-imahcd9cqb2hnpus.jpeg?q=70,Add to Compare,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.3,"2,407 Ratings",&,170 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,,"₹61,199","₹84,999",28% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,Not deliverable,
https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96CZNHARJZ&lid=LSTCOMH3G96CZNHARJZXFO1SF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH3G96CZNHARJZ.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/v/-original-imahcd9cqb2hnpus.jpeg?q=70,Add to Compare,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,4.3,"2,407 Ratings",&,170 Reviews,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,,"₹52,899","₹79,999",33% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹44,600",Off on Exchange,Bank Offer,Not deliverable,
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-fa566nfr-hn259w-laptop/p/itm10514ecd2a794?pid=COMHFT2NEWGYDWAV&lid=LSTCOMHFT2NEWGYDWAVPS8GCS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHFT2NEWGYDWAV.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/t/b/-original-imahcd999rpcg3cj.jpeg?q=70,Add to Compare,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,4.3,"1,790 Ratings",&,127 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,,"₹55,990","₹75,990",26% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Hot Deal,Upto,"₹50,950",Off on Exchange,Not deliverable,
https://www.flipkart.com/asus-vivobook-16x-creator-intel-h-series-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-50-tgp-k3605vc-rp413ws-k3605zc-mbn542ws-gaming-laptop/p/itme304c469918e6?pid=COMGPNG4FFE5HGKZ&lid=LSTCOMGPNG4FFE5HGKZBIUKVZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMGPNG4FFE5HGKZ.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/j/w/-original-imahcd9nn3vhthhm.jpeg?q=70,Add to Compare,"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...",4.2,"1,205 Ratings",&,66 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty,,"₹68,990","₹98,990",30% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Bank Offer,"Or Pay ₹68,890 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
https://www.flipkart.com/asus-tuf-gaming-f16-2025-office-2024-m365-basic-intel-core-i5-13th-gen-13450hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-165-hz-fx608jh-rv057ws-laptop/p/itm44eb1a88aa0d3?pid=COMHCQ4KVFK5BHYU&lid=LSTCOMHCQ4KVFK5BHYUMDMDMY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHCQ4KVFK5BHYU.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/f/s/-original-imahgfdffz6ehhqf.jpeg?q=70,Add to Compare,ASUS TUF Gaming F16 (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13450HX - (16 GB/1 TB...,4.7,101 Ratings,&,16 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,40.64 cm (16 inch) Display,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), , McAfee 1 year, Xbox Game Pass for 3 months",1 Year Onsite Warranty,"₹1,09,990","₹1,49,990",26% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Bank Offer,"Or Pay ₹1,09,890 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa506nc-hn083w-laptop/p/itm10514ecd2a794?pid=COMHFK2T3KCHKAFU&lid=LSTCOMHFK2T3KCHKAFUOEIOAP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHFK2T3KCHKAFU.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/t/b/-original-imahcd999rpcg3cj.jpeg?q=70,Add to Compare,ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,4.4,630 Ratings,&,52 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,,"₹57,990","₹79,990",27% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Super Deals,Upto,"₹50,950",Off on Exchange,Not deliverable,
https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-hexa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn075w-laptop/p/itm10514ecd2a794?pid=COMHFT2NY5V7RCMK&lid=LSTCOMHFT2NY5V7RCMKL6QAS4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHFT2NY5V7RCMK.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/p/v/-original-imah3gfunpynjgcu.jpeg?q=70,Add to Compare,ASUS TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,4.4,"2,663 Ratings",&,143 Reviews,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,,"₹65,999","₹78,999",16% off,,Bank Offer,"Or Pay ₹65,899 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-6500m-15-fb0185ax-gaming-laptop/p/itm6217af923f9d0?pid=COMHDZYKJTBJZWTZ&lid=LSTCOMHDZYKJTBJZWTZY835KV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHDZYKJTBJZWTZ.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/i/n/15-fb0185ax-gaming-laptop-hp-original-imahdzyzjvrnhngx.jpeg?q=70,Add to Compare,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6...,3.8,6 Ratings,&,0 Reviews,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 and Microsoft Office Home & Student Edition 2021,1 Year Onsite Warranty,"₹51,990","₹63,023",17% off,,Bank Offer,"Or Pay ₹51,890 +",100,,Not deliverable,https://rukminim2.flixcart.com/www/100/100/promos/18/07/2019/4aebbd99-7478-411e-aced-265e7722d18d.png?q=90
